Row 18, label PEFNTVTY, used 926: Columbia
Row 18, label PEMNTVTY, used 926: Columbia
Row 18, label PENATVTY, used 926: Columbia
Row 22, label PEFNTVTY, used 68299: United-States
Row 22, label PEMNTVTY, used 68299: United-States
Row 22, label PENATVTY, used 68299: United-States
Row 28, label PEFNTVTY, used 100: United-States
Row 28, label PEMNTVTY, used 100: United-States
Row 67, label PEMNTVTY, used 1611: Germany
Row 68, label PEFNTVTY, used 46: United-States
Row 77, label PEFNTVTY, used 483: United-States
Row 77, label PEMNTVTY, used 483: United-States
Row 77, label PENATVTY, used 483: United-States
Row 95, label PEMNTVTY, used 14128: United-States
Row 114, label PEFNTVTY, used 9146: Dominican-Republic
Row 114, label PEMNTVTY, used 9146: Puerto-Rico
Row 114, label PENATVTY, used 9146: United-States
Row 184, label PEMNTVTY, used 136: United-States
Row 197, label PEMNTVTY, used 55848: United-States
Row 212, label PENATVTY, used 134397: United-States
Row 218, label PEFNTVTY, used 385: United-States
Row 218, label PEMNTVTY, used 385: United-States
Row 243, label PEFNTVTY, used 72313: Cuba
Row 243, label PEMNTVTY, used 72313: Cuba
Row 243, label PENATVTY, used 72313: Cuba
Row 255, label PEFNTVTY, used 3944: Guatemala
Row 255, label PEMNTVTY, used 3944: Guatemala
Row 274, label PENATVTY, used 3: United-States
Row 277, label PEFNTVTY, used 7904: United-States
Row 277, label PEMNTVTY, used 7904: United-States
Row 309, label PEFNTVTY, used 42047: United-States
Row 317, label PEMNTVTY, used 2736: United-States
Row 324, label PEFNTVTY, used 44: United-States
Row 343, label PEFNTVTY, used 44: United-States
Row 343, label PEMNTVTY, used 44: United-States
Row 343, label PENATVTY, used 44: United-States
Row 346, label PEMNTVTY, used 69178: United-States
Row 455, label PEFNTVTY, used 3: United-States
Row 455, label PEMNTVTY, used 3: United-States
Row 455, label PENATVTY, used 3: United-States
Row 458, label PEFNTVTY, used 130: United-States
Row 488, label PEFNTVTY, used 90723: United-States
Row 488, label PEMNTVTY, used 90723: United-States
Row 488, label PENATVTY, used 90723: United-States
Row 511, label PEMNTVTY, used 3: United-States
Row 518, label PEMNTVTY, used 23426: United-States
Row 538, label PEFNTVTY, used 10235: United-States
Row 538, label PEMNTVTY, used 10235: United-States
Row 538, label PENATVTY, used 10235: United-States
Row 550, label PEMNTVTY, used 44: United-States
Row 555, label PEMNTVTY, used 25007: United-States
Row 589, label PEFNTVTY, used 23: United-States
Row 613, label PEFNTVTY, used 4944: United-States
Row 613, label PEMNTVTY, used 4944: United-States
Row 613, label PENATVTY, used 4944: United-States
Row 637, label PEFNTVTY, used 44: United-States
Row 637, label PEMNTVTY, used 44: United-States
Row 649, label PEFNTVTY, used 2270: United-States
Row 694, label PEMNTVTY, used 3: United-States
Row 697, label PEFNTVTY, used 4464: United-States
Row 697, label PEMNTVTY, used 4464: United-States
Row 703, label PEFNTVTY, used 179: United-States
Row 703, label PEMNTVTY, used 179: United-States
Row 720, label PEMNTVTY, used 7580: England
Row 724, label PEFNTVTY, used 46: United-States
Row 793, label PEMNTVTY, used 19431: United-States
Row 793, label PENATVTY, used 19431: United-States
Row 828, label PENATVTY, used 24: United-States
Row 837, label PEFNTVTY, used 65: South Korea
Row 837, label PEMNTVTY, used 65: United-States
Row 838, label PEFNTVTY, used 62332: United-States
Row 838, label PEMNTVTY, used 62332: United-States
Row 838, label PENATVTY, used 62332: United-States
Row 874, label PEFNTVTY, used 1773: United-States
Row 874, label PEMNTVTY, used 1773: United-States
Row 874, label PENATVTY, used 1773: United-States
Row 891, label PEFNTVTY, used 35038: United-States
Row 891, label PEMNTVTY, used 35038: United-States
Row 898, label PENATVTY, used 376: United-States
Row 917, label PEFNTVTY, used 3: United-States
Row 917, label PEMNTVTY, used 3: United-States
Row 917, label PENATVTY, used 3: United-States
Row 930, label PEFNTVTY, used 6901: Greece
Row 930, label PEMNTVTY, used 6901: Greece
Row 930, label PENATVTY, used 6901: Greece
Row 943, label PEFNTVTY, used 4851: Hong Kong
Row 943, label PEMNTVTY, used 4851: United-States
Row 943, label PENATVTY, used 4851: United-States
Row 944, label PEMNTVTY, used 3128: United-States
Row 1118, label PEMNTVTY, used 105044: Dominican-Republic
Row 1200, label PEFNTVTY, used 5336: United-States
Row 1200, label PEMNTVTY, used 5336: United-States
Row 1200, label PENATVTY, used 5336: United-States
Row 1222, label PEFNTVTY, used 473: United-States
Row 1222, label PEMNTVTY, used 473: United-States
Row 1251, label PEFNTVTY, used 869: Dominican-Republic
Row 1251, label PEMNTVTY, used 869: Dominican-Republic
Row 1251, label PENATVTY, used 869: Dominican-Republic
Row 1253, label PEFNTVTY, used 3: United-States
Row 1253, label PEMNTVTY, used 3: United-States
Row 1284, label PEFNTVTY, used 473: United-States
Row 1284, label PEMNTVTY, used 473: United-States
Row 1284, label PENATVTY, used 473: United-States
Row 1324, label PEFNTVTY, used 3977: United-States
Row 1324, label PEMNTVTY, used 3977: United-States
Row 1339, label PEFNTVTY, used 193418: United-States
Row 1339, label PEMNTVTY, used 193418: United-States
Row 1339, label PENATVTY, used 193418: United-States
Row 1359, label PEFNTVTY, used 867: United-States
Row 1381, label PEFNTVTY, used 46: United-States
Row 1381, label PEMNTVTY, used 46: United-States
Row 1395, label PEFNTVTY, used 116674: Puerto-Rico
Row 1437, label PEFNTVTY, used 3: United-States
Row 1438, label PEFNTVTY, used 9694: United-States
Row 1438, label PENATVTY, used 9694: United-States
Row 1470, label PEFNTVTY, used 26946: United-States
Row 1470, label PEMNTVTY, used 26946: United-States
Row 1474, label PEFNTVTY, used 119: United-States
Row 1475, label PEFNTVTY, used 22901: United-States
Row 1510, label PEFNTVTY, used 16262: United-States
Row 1510, label PEMNTVTY, used 16262: United-States
Row 1510, label PENATVTY, used 16262: United-States
Row 1520, label PEFNTVTY, used 100: United-States
Row 1520, label PEMNTVTY, used 100: United-States
Row 1535, label PEFNTVTY, used 3: United-States
Row 1551, label PENATVTY, used 86: United-States
Row 1649, label PEFNTVTY, used 270: United-States
Row 1649, label PEMNTVTY, used 270: United-States
Row 1656, label PEFNTVTY, used 83778: Peru
Row 1656, label PEMNTVTY, used 83778: Peru
Row 1656, label PENATVTY, used 83778: Peru
Row 1686, label PEFNTVTY, used 18449: United-States
Row 1686, label PEMNTVTY, used 18449: United-States
Row 1743, label PEMNTVTY, used 56: United-States
Row 1743, label PENATVTY, used 56: United-States
Row 1782, label PEFNTVTY, used 58093: United-States
Row 1782, label PEMNTVTY, used 58093: United-States
Row 1786, label PEFNTVTY, used 4798: United-States
Row 1786, label PEMNTVTY, used 4798: United-States
Row 1786, label PENATVTY, used 4798: United-States
Row 1822, label PEFNTVTY, used 2491: United-States
Row 1822, label PEMNTVTY, used 2491: United-States
Row 1822, label PENATVTY, used 2491: United-States
Row 1848, label PEFNTVTY, used 100: United-States
Row 1848, label PEMNTVTY, used 100: United-States
Row 1855, label PEFNTVTY, used 179: United-States
